participant,group,correct_1,correct_2,correct_3,correct_4,correct_5,correct_6,correct_7,correct_8,correct_9,correct_10,correct_11,correct_12,correct_13,correct_14,correct_15,correct_16,correct_17,correct_18,correct_19,correct_20,conf_1,conf_2,conf_3,conf_4,conf_5,conf_6,conf_7,conf_8,conf_9,conf_10,conf_11,conf_12,conf_13,conf_14,conf_15,conf_16,conf_17,conf_18,conf_19,conf_20,p_1,abs_1,cws_1,p_2,abs_2,cws_2,p_3,abs_3,cws_3,p_4,abs_4,cws_4,p_5,abs_5,cws_5,p_6,abs_6,cws_6,p_7,abs_7,cws_7,p_8,abs_8,cws_8,p_9,abs_9,cws_9,p_10,abs_10,cws_10,p_11,abs_11,cws_11,p_12,abs_12,cws_12,p_13,abs_13,cws_13,p_14,abs_14,cws_14,p_15,abs_15,cws_15,p_16,abs_16,cws_16,p_17,abs_17,cws_17,p_18,abs_18,cws_18,p_19,abs_19,cws_19,p_20,abs_20,cws_20,total_correct,accuracy,mean_conf,total_abs,total_cws
CG1,CG,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,3.0,5.0,7.0,7.0,4.0,3.0,1.0,7.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,1.0,1.5,1.0,0.5,1.25,0.8,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.0,1.0,0.4,1.0,0.0,0.0,11.0,0.55,5.3,22.333333333333336,12.46666666666667
CG2,CG,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7,5.0,3.0,7.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,5.0,3.0,7.0,5.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.3333333333333333,1.0555555555555554,0.7333333333333333,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.0,1.0,0.4,0.0,1.0,0.4,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.3333333333333333,1.0555555555555554,0.7333333333333333,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.5,1.25,0.8,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.0,0.5,0.6,0.0,1.0,0.4,13.0,0.65,4.05,21.916666666666668,12.800000000000002
CG3,CG,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5,1.0,2.0,7.0,7.0,6.0,7.0,2.0,4.0,7.0,7.0,2.0,2.0,2.0,7.0,7.0,5.0,3.0,7.0,7.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.0,0.5,0.6,0.16666666666666666,0.9722222222222222,0.33333333333333337,1.0,1.5,1.0,1.0,1.5,1.0,0.8333333333333334,0.30555555555555547,0.06666666666666665,1.0,1.5,1.0,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.5,0.75,0.2,1.0,1.5,1.0,1.0,0.0,0.0,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.9722222222222222,0.33333333333333337,1.0,1.5,1.0,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,1.5,1.0,1.0,0.0,0.0,9.0,0.45,4.85,19.749999999999996,10.8
CG4,CG,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6,7.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,3.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,1.5,1.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,1.5,1.0,1.0,1.5,1.0,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,1.5,1.0,1.0,1.5,1.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,0.0,0.0,1.0,1.5,1.0,0.8333333333333334,0.30555555555555547,0.06666666666666665,17.0,0.85,6.35,25.694444444444446,16.533333333333335
CG5,CG,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7,5.0,4.0,1.0,4.0,7.0,5.0,6.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,4.0,5.0,4.0,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.5,0.75,0.2,0.0,1.0,0.4,0.5,0.75,0.2,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.5,0.75,0.2,0.5,0.75,0.2,0.5,0.75,0.2,0.5,1.25,0.8,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,0.0,0.0,0.5,0.75,0.2,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.5,0.75,0.2,8.0,0.4,4.75,19.694444444444446,9.666666666666666
CG6,CG,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,0.0,1.0,0.4,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,1.0,0.4,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.5,6.4,17.0,10.8
CG7,CG,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5,7.0,4.0,7.0,4.0,7.0,7.0,4.0,1.0,6.0,1.0,1.0,4.0,5.0,2.0,6.0,4.0,4.0,1.0,7.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,0.5,0.75,0.2,1.0,1.5,1.0,0.5,1.25,0.8,1.0,1.5,1.0,1.0,1.5,1.0,0.5,1.25,0.8,0.0,1.0,0.4,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.0,1.0,0.4,0.0,0.5,0.6,0.5,1.25,0.8,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.5,1.25,0.8,0.5,0.75,0.2,0.0,0.5,0.6,1.0,0.0,0.0,13.0,0.65,4.35,21.36111111111111,12.800000000000002
CG8,CG,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,7.0,5.0,7.0,7.0,5.0,7.0,1.0,7.0,7.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,2.0,1.0,7.0,0.5,0.75,0.2,1.0,1.5,1.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,1.0,1.5,1.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,0.0,1.0,0.4,1.0,1.5,1.0,1.0,1.5,1.0,0.0,1.0,0.4,0.0,1.0,0.4,0.16666666666666666,0.9722222222222222,0.33333333333333337,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.0,1.0,0.4,1.0,0.0,0.0,10.0,0.5,4.95,22.805555555555554,12.733333333333336
CG9,CG,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,6.0,3.0,7.0,6.0,7.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,1.5,1.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,1.0,1.5,1.0,0.16666666666666666,0.8055555555555555,0.6666666666666666,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.5,0.75,0.2,0.5,1.25,0.8,0.0,1.0,0.4,0.0,1.0,0.4,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.8055555555555555,0.6666666666666666,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.16666666666666666,0.9722222222222222,0.33333333333333337,10.0,0.5,3.5,21.277777777777775,11.333333333333336
CG10,CG,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7,7.0,7.0,7.0,7.0,4.0,5.0,7.0,5.0,7.0,1.0,4.0,7.0,5.0,7.0,7.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.5,0.75,0.2,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,1.0,1.5,1.0,0.0,1.0,0.4,0.5,1.25,0.8,1.0,0.0,0.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,1.0,1.5,1.0,0.5,1.25,0.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,12.0,0.6,5.95,20.25,12.333333333333336
CG11,CG,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7,5.0,4.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,1.0,1.0,4.0,6.0,7.0,7.0,7.0,7.0,3.0,7.0,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.5,0.75,0.2,1.0,1.5,1.0,1.0,1.5,1.0,0.16666666666666666,0.9722222222222222,0.33333333333333337,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.0,1.0,0.4,0.0,1.0,0.4,0.5,1.25,0.8,0.8333333333333334,0.30555555555555547,0.06666666666666665,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,1.5,1.0,13.0,0.65,5.5,24.055555555555557,14.333333333333334
CG12,CG,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5.0,1.0,7.0,7.0,7.0,7.0,4.0,5.0,6.0,1.0,1.0,5.0,6.0,5.0,7.0,4.0,4.0,5.0,6.0,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.0,1.0,0.4,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.5,0.75,0.2,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.0,1.0,0.4,0.0,1.0,0.4,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.6666666666666666,1.3888888888888888,0.8666666666666667,1.0,1.5,1.0,0.5,1.25,0.8,0.5,1.25,0.8,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.8333333333333334,1.4722222222222223,0.9333333333333333,15.0,0.75,5.0,25.77777777777778,15.400000000000004
CG13,CG,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,0.5,0.6,0.0,0.5,0.6,0.0,1.0,0.4,0.0,0.5,0.6,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,0.5,0.6,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,4.0,0.2,1.0,18.0,8.800000000000002
CG14,CG,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.0,1.0,0.4,0.0,0.5,0.6,1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,1.0,1.5,1.0,14.0,0.7,6.4,21.0,14.0
CG15,CG,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7,5.0,7.0,7.0,7.0,5.0,1.0,5.0,7.0,5.0,3.0,5.0,2.0,2.0,3.0,7.0,5.0,2.0,1.0,4.0,1.0,0.0,0.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.0,1.0,0.4,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.3333333333333333,1.0555555555555554,0.7333333333333333,1.0,1.5,1.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.0,1.0,0.4,0.5,1.25,0.8,9.0,0.45,4.5,20.61111111111111,10.866666666666669
CG16,CG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,4.0,5.0,5.0,6.0,3.0,6.0,1.0,3.0,3.0,1.0,1.0,5.0,4.0,7.0,7.0,3.0,4.0,1.0,3.0,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.5,1.25,0.8,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.8333333333333334,0.30555555555555547,0.06666666666666665,0.0,1.0,0.4,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.0,1.0,0.4,0.0,1.0,0.4,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.5,0.75,0.2,1.0,1.5,1.0,1.0,1.5,1.0,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.5,0.75,0.2,0.0,1.0,0.4,0.3333333333333333,0.8888888888888888,0.2666666666666667,9.0,0.45,3.75,20.694444444444446,10.666666666666666
CG17,CG,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4,5.0,7.0,7.0,6.0,1.0,6.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,6.0,4.0,1.0,1.0,6.0,0.5,0.75,0.2,0.6666666666666666,1.3888888888888888,0.8666666666666667,1.0,1.5,1.0,1.0,1.5,1.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.0,0.5,0.6,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.16666666666666666,0.8055555555555555,0.6666666666666666,0.5,0.75,0.2,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.8055555555555555,0.6666666666666666,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.5,1.25,0.8,0.0,0.5,0.6,0.0,1.0,0.4,0.8333333333333334,1.4722222222222223,0.9333333333333333,15.0,0.75,4.05,22.749999999999996,14.000000000000002
CG18,CG,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,1.0,3.0,3.0,6.0,7.0,7.0,7.0,5.0,5.0,7.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.5,1.0,0.0,1.0,0.4,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.8333333333333334,0.30555555555555547,0.06666666666666665,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.6666666666666666,0.5555555555555556,0.13333333333333336,1.0,1.5,1.0,11.0,0.55,5.85,21.583333333333336,12.533333333333333
CG19,CG,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5,1.0,3.0,7.0,2.0,3.0,4.0,4.0,3.0,5.0,1.0,3.0,7.0,6.0,5.0,7.0,7.0,4.0,4.0,3.0,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.0,1.0,0.4,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,1.5,1.0,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.5,0.75,0.2,0.5,0.75,0.2,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.0,1.0,0.4,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,1.5,1.0,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.6666666666666666,1.3888888888888888,0.8666666666666667,1.0,1.5,1.0,1.0,1.5,1.0,0.5,0.75,0.2,0.5,1.25,0.8,0.3333333333333333,0.8888888888888888,0.2666666666666667,8.0,0.4,4.2,21.722222222222225,10.666666666666668
CG20,CG,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7,7.0,4.0,7.0,4.0,2.0,7.0,3.0,5.0,4.0,3.0,3.0,6.0,6.0,3.0,7.0,7.0,2.0,2.0,6.0,1.0,1.5,1.0,1.0,1.5,1.0,0.5,0.75,0.2,1.0,1.5,1.0,0.5,0.75,0.2,0.16666666666666666,0.9722222222222222,0.33333333333333337,1.0,1.5,1.0,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.6666666666666666,1.3888888888888888,0.8666666666666667,0.5,0.75,0.2,0.3333333333333333,0.8888888888888888,0.2666666666666667,0.3333333333333333,1.0555555555555554,0.7333333333333333,0.8333333333333334,0.30555555555555547,0.06666666666666665,0.8333333333333334,1.4722222222222223,0.9333333333333333,0.3333333333333333,0.8888888888888888,0.2666666666666667,1.0,1.5,1.0,1.0,1.5,1.0,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.16666666666666666,0.9722222222222222,0.33333333333333337,0.8333333333333334,1.4722222222222223,0.9333333333333333,10.0,0.5,4.75,22.527777777777775,11.933333333333335
CG21,CG,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7,7.0,4.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,1.0,0.0,0.0,1.0,1.5,1.0,0.5,0.75,0.2,1.0,1.5,1.0,0.5,1.25,0.8,0.5,0.75,0.2,0.5,0.75,0.2,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.6666666666666666,0.5555555555555556,0.13333333333333336,0.8333333333333334,0.30555555555555547,0.06666666666666665,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,0.5,1.25,0.8,0.5,0.75,0.2,1.0,1.5,1.0,12.0,0.6,5.95,21.36111111111111,12.600000000000001
